StudyID,SRDB_study,SiteID,StartYear,Comments,Latitude,Longitude,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,count,avg,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26
1,,HardwoodForest,1991,Figure 1,42.54,-72.18,7.85,6.458333333,6.466666667,6.283333333,6.858333333,6.716666667,6.533333333,8.233333333,8.008333333,6.691666667,7.508333333,7.558333333,6.508333333,6.925,7.35,8.075,6.991666667,7.05,6.641666667,8.25,7.65,8.95,7.575,6.741666667,7.141667,8.525,26,7.290064115,0.559935885,-0.831730782,-0.823397449,-1.006730782,-0.431730782,-0.573397449,-0.756730782,0.943269218,0.718269218,-0.598397449,0.218269218,0.268269218,-0.781730782,-0.365064115,0.059935885,0.784935885,-0.298397449,-0.240064115,-0.648397449,0.959935885,0.359935885,1.659935885,0.284935885,-0.548397449,-0.148397115,1.234935885
2,6935,Deciduous,1992,Table 3,42.5,-72.2,6.458333333,6.466666667,6.283333333,6.858333333,6.716666667,6.533333333,8.233333333,8.008333333,6.691666667,7.508333333,7.558333333,6.508333333,6.925,7.35,8.075,6.991666667,7.05,6.641666667,,,,,,,,,18,7.047685185,-0.589351852,-0.581018519,-0.764351852,-0.189351852,-0.331018519,-0.514351852,1.185648148,0.960648148,-0.356018519,0.460648148,0.510648148,-0.539351852,-0.122685185,0.302314815,1.027314815,-0.056018519,0.002314815,-0.406018519,,,,,,,,
2,6935,Hemlock,1992,Table 3,42.5,-72.2,6.458333333,6.466666667,6.283333333,6.858333333,6.716666667,6.533333333,8.233333333,8.008333333,6.691666667,7.508333333,7.558333333,6.508333333,6.925,7.35,8.075,6.991666667,7.05,6.641666667,,,,,,,,,18,7.047685185,-0.589351852,-0.581018519,-0.764351852,-0.189351852,-0.331018519,-0.514351852,1.185648148,0.960648148,-0.356018519,0.460648148,0.510648148,-0.539351852,-0.122685185,0.302314815,1.027314815,-0.056018519,0.002314815,-0.406018519,,,,,,,,
2,6935,Mixed,1992,Table 3,42.5,-72.2,6.458333333,6.466666667,6.283333333,6.858333333,6.716666667,6.533333333,8.233333333,8.008333333,6.691666667,7.508333333,7.558333333,6.508333333,6.925,7.35,8.075,6.991666667,7.05,6.641666667,,,,,,,,,18,7.047685185,-0.589351852,-0.581018519,-0.764351852,-0.189351852,-0.331018519,-0.514351852,1.185648148,0.960648148,-0.356018519,0.460648148,0.510648148,-0.539351852,-0.122685185,0.302314815,1.027314815,-0.056018519,0.002314815,-0.406018519,,,,,,,,
2,6935,Redpine,1992,Table 3,42.5,-72.2,6.458333333,6.466666667,6.283333333,6.858333333,6.716666667,6.533333333,8.233333333,8.008333333,6.691666667,7.508333333,7.558333333,6.508333333,6.925,7.35,8.075,6.991666667,7.05,6.641666667,,,,,,,,,18,7.047685185,-0.589351852,-0.581018519,-0.764351852,-0.189351852,-0.331018519,-0.514351852,1.185648148,0.960648148,-0.356018519,0.460648148,0.510648148,-0.539351852,-0.122685185,0.302314815,1.027314815,-0.056018519,0.002314815,-0.406018519,,,,,,,,
2,6935,Wetlands,1992,Table 3,42.5,-72.2,6.458333333,6.466666667,6.283333333,6.858333333,6.716666667,6.533333333,8.233333333,8.008333333,6.691666667,7.508333333,7.558333333,6.508333333,6.925,7.35,8.075,6.991666667,7.05,6.641666667,,,,,,,,,18,7.047685185,-0.589351852,-0.581018519,-0.764351852,-0.189351852,-0.331018519,-0.514351852,1.185648148,0.960648148,-0.356018519,0.460648148,0.510648148,-0.539351852,-0.122685185,0.302314815,1.027314815,-0.056018519,0.002314815,-0.406018519,,,,,,,,
2,6935,EMS,1992,Table 4,42.5,-72.2,6.458333333,6.466666667,6.283333333,6.858333333,6.716666667,6.533333333,8.233333333,8.008333333,6.691666667,7.508333333,7.558333333,6.508333333,6.925,7.35,8.075,6.991666667,7.05,6.641666667,,,,,,,,,18,7.047685185,-0.589351852,-0.581018519,-0.764351852,-0.189351852,-0.331018519,-0.514351852,1.185648148,0.960648148,-0.356018519,0.460648148,0.510648148,-0.539351852,-0.122685185,0.302314815,1.027314815,-0.056018519,0.002314815,-0.406018519,,,,,,,,
2,6935,HEM,2004,Table 4,42.5,-72.2,6.925,7.35,8.075,6.991666667,7.05,6.641666667,,,,,,,,,,,,,,,,,,,,,6,7.172222222,-0.247222222,0.177777778,0.902777778,-0.180555556,-0.122222222,-0.530555556,,,,,,,,,,,,,,,,,,,,
3,4174,UC,2000,Table 1,34.98,-97.52,16.39166667,16.55833333,15.60833333,16.54166667,16.55833333,16.49166667,,,,,,,,,,,,,,,,,,,,,6,16.35833333,0.033333333,0.2,-0.75,0.183333333,0.2,0.133333333,,,,,,,,,,,,,,,,,,,,
3,4174,CC,2000,Table 1,34.98,-97.52,16.39166667,16.55833333,15.60833333,16.54166667,16.55833333,16.49166667,,,,,,,,,,,,,,,,,,,,,6,16.35833333,0.033333333,0.2,-0.75,0.183333333,0.2,0.133333333,,,,,,,,,,,,,,,,,,,,
4,2056,Spruce,1977,Table 1,49.34,16.7,7.658333333,6.75,7.425,6.333333333,7.675,7.833333,8.466667,7.2916667,6.45,,,,,,,,,,,,,,,,,,9,7.320370374,0.337962959,-0.570370374,0.104629626,-0.987037041,0.354629626,0.512962626,1.146296626,-0.028703674,-0.870370374,,,,,,,,,,,,,,,,,
4,2056,Felled,1977,Table 2,49.34,16.7,7.658333333,6.75,7.425,6.333333333,7.675,7.833333333,8.466667,7.2916667,6.45,,,,,,,,,,,,,,,,,,9,7.320370411,0.337962922,-0.570370411,0.104629589,-0.987037078,0.354629589,0.512962922,1.146296589,-0.028703711,-0.870370411,,,,,,,,,,,,,,,,,
5,3301,HowlandForest,1997,Table 1,45.2,-68.73,5.525,7.091666667,7.625,5.683333333,6.866666667,6.325,6.016666667,,,,,,,,,,,,,,,,,,,,7,6.447619048,-0.922619048,0.644047619,1.177380952,-0.764285714,0.419047619,-0.122619048,-0.430952381,,,,,,,,,,,,,,,,,,,
6,3302,HardwoodForest-Pit1,1996,Table 1,42.53,-72.18,6.716666667,6.533333333,8.233333333,8.008333333,6.691666667,7.508333333,7.558333333,6.508333333,,,,,,,,,,,,,,,,,,,8,7.219791667,-0.503125,-0.686458333,1.013541667,0.788541667,-0.528125,0.288541667,0.338541667,-0.711458333,,,,,,,,,,,,,,,,,,
6,3302,HardwoodForest-Pit2,1997,Table 2,42.53,-72.18,6.533333333,8.233333333,8.008333333,6.691666667,7.508333333,7.558333333,6.508333333,,,,,,,,,,,,,,,,,,,,7,7.291666667,-0.758333333,0.941666667,0.716666667,-0.6,0.216666667,0.266666667,-0.783333333,,,,,,,,,,,,,,,,,,,
