CSR_DATASET,CSR_LONGITUDE,CSR_LATITUDE,CSR_ELEVATION,CSR_IGBP,CSR_PRIMARY_PUB,CSR_RECORDS,CSR_GASES,CSR_DATE_BEGIN,CSR_DATE_END,CSR_MSMT_VAR
d20190409_ANJILELI,-117.849,33.658,2,Wetland,10.1029/2018JG004640,46271,CO2,2/5/2016,4/21/2017,Rs
d20190409_ZOU,-7.25,52.95,260,Evergreen needleleaf forest,NA,82314,CO2,11/22/2013,2/17/2015,Rs
d20190415_VARNER,-72.17,42.54,340,Deciduous broadleaf forest,10.1029/2008JG000858,34641,CO2,4/20/2003,12/12/2006,Rs
d20190424_ZHANG_maple,-86.4131,39.3232,275,Deciduous broadleaf forest,10.1016/j.agrformet.2018.05.005,56701,CO2,1/1/2012,11/15/2013,"Rh, Rs"
d20190424_ZHANG_oak,-86.4131,39.3232,275,Deciduous broadleaf forest,10.1016/j.agrformet.2018.05.005,59181,CO2,7/19/2011,12/6/2012,"Rh, Rs"
d20190430_DESAI,-90.0799,45.8059,520,Deciduous broadleaf forest,10.5194/bg-10-7999-2013,53886,CO2,7/10/2011,12/22/2012,"Rs, Rh"
d20190504_SAVAGE_hf006-03,-72.17,42.54,352.5,Deciduous broadleaf forest,10.1111/j.1365-2435.2008.01414.x,43656,CO2,5/17/2003,11/11/2003,Rs
d20190504_SAVAGE_hf006-05,-72.17,42.54,352.5,Deciduous broadleaf forest,10.1111/j.1365-2435.2008.01414.x,124461,CO2,5/19/2012,11/17/2014,"Rh, Rs"
d20190517_MAURITZ,-117.1641667,33.44163333,393,Open shrubland,10.5194/bgd-10-6335-2013,33340,CO2,2/11/2010,8/2/2011,"Rh, Rs"
d20190520_RUEHR,-121.6078,44.3232842,998,Evergreen needleleaf forest,10.1016/j.agrformet.2012.05.015,23756,CO2,5/13/2010,10/21/2010,Rs
d20190526_MINIONS_BNZ,-148.325677,64.695999,NA,Evergreen needleleaf forest,10.1016/j.scitotenv.2016.05.052,NA,NA,NA,NA,Rs
d20190526_MINIONS_EML,-148.325677,63.880123,NA,Evergreen needleleaf forest,10.1016/j.scitotenv.2016.05.052,7185,CO2,8/15/2016,4/21/2018,Rs
d20190526_MINIONS_HCB,-148.92344,65.568762,NA,Evergreen needleleaf forest,10.1016/j.scitotenv.2016.05.052,4871,CO2,8/18/2016,12/3/2017,Rs
d20190526_MINIONS_HCU,-148.925157,65.567389,NA,Evergreen needleleaf forest,10.1016/j.scitotenv.2016.05.052,4284,CO2,8/23/2016,11/13/2017,Rs
d20190526_MINIONS_IMNH,-149.532908,68.557159,NA,Evergreen needleleaf forest,10.1016/j.scitotenv.2016.05.052,1272,CO2,8/21/2016,6/22/2017,Rs
d20190526_MINIONS_IMNL,-149.51605,68.5593,NA,Evergreen needleleaf forest,10.1016/j.scitotenv.2016.05.052,1702,CO2,8/19/2016,6/13/2017,Rs
d20190526_MINIONS_NCU_OLD,-146.560019,65.285561,NA,Evergreen needleleaf forest,10.1016/j.scitotenv.2016.05.052,2156,CO2,8/24/2016,6/14/2017,Rs
d20190526_PENNINGTON,-76.552,38.875,5,Deciduous broadleaf forest,NA,53140,CO2,8/19/2018,12/20/2019,Rs
d20190526_RAICH_diel,-84.21,10.43,65,Evergreen broadleaf forest,10.3390/f8020040,2650,CO2,11/12/2004,2/7/2010,Rs
d20190526_RAICH_survey,-84.21,10.43,65,Evergreen broadleaf forest,10.3390/f8020040,4858,CO2,9/29/2004,2/25/2010,Rs
d20190527_GOULDEN,-54.9707,-3.017,NA,Evergreen broadleaf forest,10.1890/02-6008,8195,CO2,12/20/2001,3/4/2002,Rs
d20190607_RUEHR,8.365,47.4781,689,Mixed forests,10.1007/s10533-009-9383-z,25727,CO2,3/14/2006,12/31/2007,Rs
d20190610_SIHI_H1,-68.7402,45.2041,60,Evergreen needleleaf forest,10.1016/j.agrformet.2018.01.026,289567,CO2,5/14/2004,8/24/2011,Rs
d20190610_SIHI_H2,-68.7402,45.2041,60,Evergreen needleleaf forest,10.1016/j.agrformet.2018.01.026,76160,"CO2, CH4",4/16/2012,11/14/2016,"Rs, Rh"
d20190610_SIHI_H2wetland,-68.7402,45.2041,60,Wetland,10.1016/j.agrformet.2018.01.026,21083,"CO2, CH4",7/26/2013,11/14/2016,Rs
d20190617_SCOTT_SRM,-110.828,31.82143,1116,Woody savanna,10.3390/soilsystems3010006,27474,CO2,3/16/2017,6/6/2018,Rs
d20190617_SCOTT_WHS,-110.05202,31.7439,1370,Open shrubland,10.1002/2013JG002495,18264,CO2,3/23/2012,10/15/2012,Rs
d20190617_SCOTT_WKG,-109.94185,31.73652,1531,Grassland,10.3390/soilsystems3010006,98080,CO2,1/1/2017,5/29/2019,"Rs, Rh"
d20190619_GU,-92.2,38.7441,219.4,Deciduous broadleaf forest,10.1002/2015JG003060,NA,NA,NA,NA,Rs
d20190626_VARGAS,-87.18278,21.21,7,Deciduous broadleaf forest,http://iopscience.iop.org/1748-9326/7/3/035704,19998,CO2,1/1/2006,12/31/2008,Rs
d20190722_GORRES,3.850444,51.11219,5,Deciduous broadleaf plantation,10.5194/bg-13-1949-2016,11337,CO2,3/25/2014,8/31/2014,Rs
d20190821_LIU,107.2325,37.7086,1530,Open shrubland,10.5194/bg-11-259-2014,693526,CO2,6/3/2012,11/8/2018,"Rs, NEE"
d20190830_LIANG,131.3,31.85,130,Evergreen broadleaf forest,10.1038/sdata.2017.26,694089,CO2,12/20/2008,12/31/2014,"Rh, Rs"
d20190831_SIHI,-65.8,18.3,350,Evergreen broadleaf forest,https://www.nature.com/articles/s41467-018-03352-3,8453,CO2,2/27/2015,7/18/2016,Rs
d20190918_MIAO,-75.9038,35.7879,1,Wetland,10.1016/j.agrformet.2017.08.022,26352,CO2,7/1/2009,1/1/2011,Rs
d20190919_MIGLIAVACCA,-5.774639,39.940311,265,Savannas,10.5194/gi-2019-10,531352,CO2,5/22/2015,2/29/2020,Rs
d20191017_BALDOCCHI,-120.96598,38.4316,177,Woody savanna,10.1029/2005JG000063,14688,CO2,6/1/2003,11/1/2003,Rs
