error,mean_value,lower_bound,upper_bound
0.19,67.27586,55.399,79.4045
0.18,67.31928,54.5795,79.6215
0.17,66.48252,54.4765,79.04
0.16,66.41132,54.0765,78.4225
0.15,65.70994,54.033,77.8815
0.14,65.77724,53.199,78.5625
0.13,65.37678,52.6785,77.722
0.12,64.87226,51.8775,76.5865
0.11,63.88766,51.637,75.1405
0.1,63.5255,51.5185,75.341
0.09,63.0355,50.6175,75.021
0.08,61.3532,48.837,72.7305
0.07,59.35858,47.599,72.221
0.06,57.93304,46.0795,70.46
0.05,55.9747,44.2155,67.7035
0.04,52.58318,40.637,63.7405
0.03,48.9608,38.838,60.862
0.02,44.80966,34.559,55.901
0.01,39.89786,30.4985,49.5805
0,32.70438,25.1595,41.271
